State Name,geoid,County Name,Start Year,End Year,Tenure,Housing cost burden is greater than 30% but less than or equal to 50%,Housing cost burden is greater than 50%,Housing cost burden is less than or equal to 30%,Housing cost burden not computed (household has no/negative income),Total Households
Missouri,05000US29031,Cape Girardeau County,1/1/2005,1/1/2009,Renter occupied,"1,335",438,"5,130",0,"6,903"
Missouri,05000US29031,Cape Girardeau County,1/1/2006,1/1/2010,Owner occupied,"2,605","1,429","15,890",40,"19,964"
Missouri,05000US29031,Cape Girardeau County,1/1/2006,1/1/2010,Renter occupied,"1,555","2,129","5,774",200,"9,658"
Missouri,05000US29031,Cape Girardeau County,1/1/2007,1/1/2011,Owner occupied,"2,573","1,330","15,750",95,"19,748"
Missouri,05000US29031,Cape Girardeau County,1/1/2007,1/1/2011,Renter occupied,"1,425","2,450","5,560",280,"9,715"
Missouri,05000US29031,Cape Girardeau County,1/1/2008,1/1/2012,Owner occupied,"2,463","1,295","16,149",90,"19,997"
Missouri,05000US29031,Cape Girardeau County,1/1/2008,1/1/2012,Renter occupied,"1,408","2,439","5,304",335,"9,486"
Missouri,05000US29031,Cape Girardeau County,1/1/2009,1/1/2013,Owner occupied,"2,174","1,125","16,094",130,"19,523"
Missouri,05000US29031,Cape Girardeau County,1/1/2009,1/1/2013,Renter occupied,"1,614","2,455","5,494",305,"9,868"
Missouri,05000US29031,Cape Girardeau County,1/1/2010,1/1/2014,Owner occupied,"2,189","1,125","15,704",170,"19,188"
Missouri,05000US29031,Cape Girardeau County,1/1/2010,1/1/2014,Renter occupied,"1,819","2,595","5,693",405,"10,512"
Missouri,05000US29033,Carroll County,1/1/2005,1/1/2009,Owner occupied,360,292,"2,772",98,"3,522"
Missouri,05000US29033,Carroll County,1/1/2005,1/1/2009,Renter occupied,74,32,643,0,749
Missouri,05000US29033,Carroll County,1/1/2006,1/1/2010,Owner occupied,265,245,"2,495",23,"3,028"
Missouri,05000US29033,Carroll County,1/1/2006,1/1/2010,Renter occupied,73,136,556,95,860
Missouri,05000US29033,Carroll County,1/1/2007,1/1/2011,Owner occupied,261,240,"2,402",24,"2,927"
Missouri,05000US29033,Carroll County,1/1/2007,1/1/2011,Renter occupied,77,98,494,75,744
Missouri,05000US29033,Carroll County,1/1/2008,1/1/2012,Owner occupied,209,164,"2,517",24,"2,914"
Missouri,05000US29033,Carroll County,1/1/2008,1/1/2012,Renter occupied,79,127,475,79,760
Missouri,05000US29033,Carroll County,1/1/2009,1/1/2013,Owner occupied,247,169,"2,482",24,"2,922"
Missouri,05000US29033,Carroll County,1/1/2009,1/1/2013,Renter occupied,97,119,501,4,721
Missouri,05000US29033,Carroll County,1/1/2010,1/1/2014,Owner occupied,279,156,"2,381",12,"2,828"
Missouri,05000US29033,Carroll County,1/1/2010,1/1/2014,Renter occupied,186,159,505,4,854
Missouri,05000US29035,Carter County,1/1/2005,1/1/2009,Owner occupied,223,284,"1,623",49,"2,179"
Missouri,05000US29035,Carter County,1/1/2005,1/1/2009,Renter occupied,88,30,287,0,405
Missouri,05000US29035,Carter County,1/1/2006,1/1/2010,Owner occupied,168,193,"1,523",0,"1,884"
Missouri,05000US29035,Carter County,1/1/2006,1/1/2010,Renter occupied,132,23,400,0,555
Missouri,05000US29035,Carter County,1/1/2007,1/1/2011,Owner occupied,232,214,"1,389",0,"1,835"
Missouri,05000US29035,Carter County,1/1/2007,1/1/2011,Renter occupied,137,34,460,15,646
Missouri,05000US29035,Carter County,1/1/2008,1/1/2012,Owner occupied,232,189,"1,368",25,"1,814"
Missouri,05000US29035,Carter County,1/1/2008,1/1/2012,Renter occupied,157,44,400,10,611
Missouri,05000US29035,Carter County,1/1/2009,1/1/2013,Owner occupied,211,163,"1,388",20,"1,782"
Missouri,05000US29035,Carter County,1/1/2009,1/1/2013,Renter occupied,158,59,423,10,650
Missouri,05000US29035,Carter County,1/1/2010,1/1/2014,Owner occupied,252,208,"1,268",20,"1,748"
Missouri,05000US29035,Carter County,1/1/2010,1/1/2014,Renter occupied,139,80,473,4,696
Missouri,05000US29037,Cass County,1/1/2005,1/1/2009,Owner occupied,"4,555","2,129","24,434","1,085","32,203"
Missouri,05000US29037,Cass County,1/1/2005,1/1/2009,Renter occupied,"1,140",455,"3,995",0,"5,590"
Missouri,05000US29037,Cass County,1/1/2006,1/1/2010,Owner occupied,"4,234","1,773","23,034",90,"29,131"
Missouri,05000US29037,Cass County,1/1/2006,1/1/2010,Renter occupied,"1,555","1,370","4,260",69,"7,254"
Missouri,05000US29037,Cass County,1/1/2007,1/1/2011,Owner occupied,"4,155","1,846","22,959",90,"29,050"
Missouri,05000US29037,Cass County,1/1/2007,1/1/2011,Renter occupied,"1,784","1,535","4,455",39,"7,813"
Missouri,05000US29037,Cass County,1/1/2008,1/1/2012,Owner occupied,"4,234","2,057","22,720",75,"29,086"
Missouri,05000US29037,Cass County,1/1/2008,1/1/2012,Renter occupied,"1,749","1,629","4,680",74,"8,132"
Missouri,05000US29037,Cass County,1/1/2009,1/1/2013,Owner occupied,"4,300","2,098","22,500",65,"28,963"
Missouri,05000US29037,Cass County,1/1/2009,1/1/2013,Renter occupied,"1,668","1,659","4,914",110,"8,351"
Missouri,05000US29037,Cass County,1/1/2010,1/1/2014,Owner occupied,"4,040","2,117","22,510",55,"28,722"
Missouri,05000US29037,Cass County,1/1/2010,1/1/2014,Renter occupied,"1,773","1,800","5,084",140,"8,797"
Missouri,05000US29039,Cedar County,1/1/2005,1/1/2009,Owner occupied,609,448,"4,159",325,"5,541"
Missouri,05000US29039,Cedar County,1/1/2005,1/1/2009,Renter occupied,235,0,734,0,969
Missouri,05000US29039,Cedar County,1/1/2006,1/1/2010,Owner occupied,385,455,"3,834",25,"4,699"
