State Name,geoid,County Name,Start Year,End Year,Tenure,Housing cost burden is greater than 30% but less than or equal to 50%,Housing cost burden is greater than 50%,Housing cost burden is less than or equal to 30%,Housing cost burden not computed (household has no/negative income),Total Households
Alabama,05000US01033,Colbert County,1/1/2007,1/1/2011,Renter occupied,"1,095","1,264","3,620",120,"6,099"
Alabama,05000US01033,Colbert County,1/1/2008,1/1/2012,Owner occupied,"1,835","1,599","12,544",220,"16,198"
Alabama,05000US01033,Colbert County,1/1/2008,1/1/2012,Renter occupied,"1,199","1,097","3,660",140,"6,096"
Alabama,05000US01033,Colbert County,1/1/2009,1/1/2013,Owner occupied,"1,780","1,589","12,455",235,"16,059"
Alabama,05000US01033,Colbert County,1/1/2009,1/1/2013,Renter occupied,"1,230","1,222","3,615",153,"6,220"
Alabama,05000US01033,Colbert County,1/1/2010,1/1/2014,Owner occupied,"1,640","1,744","12,419",165,"15,968"
Alabama,05000US01033,Colbert County,1/1/2010,1/1/2014,Renter occupied,"1,450","1,398","3,385",219,"6,452"
Alabama,05000US01035,Conecuh County,1/1/2005,1/1/2009,Owner occupied,715,519,"3,914",240,"5,388"
Alabama,05000US01035,Conecuh County,1/1/2005,1/1/2009,Renter occupied,48,0,475,0,523
Alabama,05000US01035,Conecuh County,1/1/2006,1/1/2010,Owner occupied,344,334,"3,208",85,"3,971"
Alabama,05000US01035,Conecuh County,1/1/2006,1/1/2010,Renter occupied,193,225,460,15,893
Alabama,05000US01035,Conecuh County,1/1/2007,1/1/2011,Owner occupied,263,534,"2,857",75,"3,729"
Alabama,05000US01035,Conecuh County,1/1/2007,1/1/2011,Renter occupied,250,228,445,40,963
Alabama,05000US01035,Conecuh County,1/1/2008,1/1/2012,Owner occupied,404,460,"2,981",60,"3,905"
Alabama,05000US01035,Conecuh County,1/1/2008,1/1/2012,Renter occupied,254,284,330,99,967
Alabama,05000US01035,Conecuh County,1/1/2009,1/1/2013,Owner occupied,412,543,"2,888",104,"3,947"
Alabama,05000US01035,Conecuh County,1/1/2009,1/1/2013,Renter occupied,289,225,340,199,"1,053"
Alabama,05000US01035,Conecuh County,1/1/2010,1/1/2014,Owner occupied,409,434,"2,969",82,"3,894"
Alabama,05000US01035,Conecuh County,1/1/2010,1/1/2014,Renter occupied,259,289,414,199,"1,161"
Alabama,05000US01037,Coosa County,1/1/2005,1/1/2009,Owner occupied,637,358,"2,980",85,"4,060"
Alabama,05000US01037,Coosa County,1/1/2005,1/1/2009,Renter occupied,53,15,534,0,602
Alabama,05000US01037,Coosa County,1/1/2006,1/1/2010,Owner occupied,603,444,"2,760",14,"3,821"
Alabama,05000US01037,Coosa County,1/1/2006,1/1/2010,Renter occupied,107,52,538,19,716
Alabama,05000US01037,Coosa County,1/1/2007,1/1/2011,Owner occupied,652,497,"2,739",45,"3,933"
Alabama,05000US01037,Coosa County,1/1/2007,1/1/2011,Renter occupied,152,88,439,24,703
Alabama,05000US01037,Coosa County,1/1/2008,1/1/2012,Owner occupied,627,495,"2,679",50,"3,851"
Alabama,05000US01037,Coosa County,1/1/2008,1/1/2012,Renter occupied,153,112,457,20,742
Alabama,05000US01037,Coosa County,1/1/2009,1/1/2013,Owner occupied,604,480,"2,543",75,"3,702"
Alabama,05000US01037,Coosa County,1/1/2009,1/1/2013,Renter occupied,139,119,501,14,773
Alabama,05000US01037,Coosa County,1/1/2010,1/1/2014,Owner occupied,574,514,"2,437",75,"3,600"
Alabama,05000US01037,Coosa County,1/1/2010,1/1/2014,Renter occupied,138,108,564,20,830
Alabama,05000US01039,Covington County,1/1/2005,1/1/2009,Owner occupied,"1,558","1,099","9,669",624,"12,950"
Alabama,05000US01039,Covington County,1/1/2005,1/1/2009,Renter occupied,404,144,"2,145",0,"2,693"
Alabama,05000US01039,Covington County,1/1/2006,1/1/2010,Owner occupied,"1,229","1,124","8,365",135,"10,853"
Alabama,05000US01039,Covington County,1/1/2006,1/1/2010,Renter occupied,799,700,"2,290",20,"3,809"
Alabama,05000US01039,Covington County,1/1/2007,1/1/2011,Owner occupied,"1,368","1,132","8,340",80,"10,920"
Alabama,05000US01039,Covington County,1/1/2007,1/1/2011,Renter occupied,745,689,"2,325",55,"3,814"
Alabama,05000US01039,Covington County,1/1/2008,1/1/2012,Owner occupied,"1,383","1,124","8,554",75,"11,136"
Alabama,05000US01039,Covington County,1/1/2008,1/1/2012,Renter occupied,735,724,"2,260",59,"3,778"
Alabama,05000US01039,Covington County,1/1/2009,1/1/2013,Owner occupied,"1,423","1,102","8,699",75,"11,299"
Alabama,05000US01039,Covington County,1/1/2009,1/1/2013,Renter occupied,720,667,"2,285",59,"3,731"
Alabama,05000US01039,Covington County,1/1/2010,1/1/2014,Owner occupied,"1,322","1,067","8,824",99,"11,312"
Alabama,05000US01039,Covington County,1/1/2010,1/1/2014,Renter occupied,652,653,"2,225",120,"3,650"
Alabama,05000US01041,Crenshaw County,1/1/2005,1/1/2009,Owner occupied,714,430,"3,811",240,"5,195"
Alabama,05000US01041,Crenshaw County,1/1/2005,1/1/2009,Renter occupied,111,44,"1,145",0,"1,300"
Alabama,05000US01041,Crenshaw County,1/1/2006,1/1/2010,Owner occupied,475,354,"2,984",15,"3,828"
Alabama,05000US01041,Crenshaw County,1/1/2006,1/1/2010,Renter occupied,222,208,"1,308",80,"1,818"
Alabama,05000US01041,Crenshaw County,1/1/2007,1/1/2011,Owner occupied,527,373,"2,994",15,"3,909"
Alabama,05000US01041,Crenshaw County,1/1/2007,1/1/2011,Renter occupied,213,202,"1,262",75,"1,752"
Alabama,05000US01041,Crenshaw County,1/1/2008,1/1/2012,Owner occupied,467,367,"3,218",19,"4,071"
Alabama,05000US01041,Crenshaw County,1/1/2008,1/1/2012,Renter occupied,217,252,"1,093",30,"1,592"
Alabama,05000US01041,Crenshaw County,1/1/2009,1/1/2013,Owner occupied,369,281,"3,224",49,"3,923"
Alabama,05000US01041,Crenshaw County,1/1/2009,1/1/2013,Renter occupied,257,297,"1,112",25,"1,691"
Alabama,05000US01041,Crenshaw County,1/1/2010,1/1/2014,Owner occupied,395,328,"3,135",68,"3,926"
Alabama,05000US01041,Crenshaw County,1/1/2010,1/1/2014,Renter occupied,223,191,"1,058",19,"1,491"
Alabama,05000US01043,Cullman County,1/1/2005,1/1/2009,Owner occupied,"3,325","2,305","20,250","1,214","27,094"
Alabama,05000US01043,Cullman County,1/1/2005,1/1/2009,Renter occupied,979,284,"4,625",0,"5,888"
Alabama,05000US01043,Cullman County,1/1/2006,1/1/2010,Owner occupied,"2,985","2,045","18,210",120,"23,360"
Alabama,05000US01043,Cullman County,1/1/2006,1/1/2010,Renter occupied,"1,314","1,464","4,825",285,"7,888"
Alabama,05000US01043,Cullman County,1/1/2007,1/1/2011,Owner occupied,"2,934","2,195","18,315",180,"23,624"
Alabama,05000US01043,Cullman County,1/1/2007,1/1/2011,Renter occupied,"1,459","1,439","4,578",260,"7,736"
Alabama,05000US01043,Cullman County,1/1/2008,1/1/2012,Owner occupied,"2,945","2,055","18,110",165,"23,275"
Alabama,05000US01043,Cullman County,1/1/2008,1/1/2012,Renter occupied,"1,459","1,643","4,645",260,"8,007"
Alabama,05000US01043,Cullman County,1/1/2009,1/1/2013,Owner occupied,"3,054","2,235","17,930",275,"23,494"
Alabama,05000US01043,Cullman County,1/1/2009,1/1/2013,Renter occupied,"1,529","1,588","4,510",220,"7,847"
Alabama,05000US01043,Cullman County,1/1/2010,1/1/2014,Owner occupied,"3,163","2,240","17,879",225,"23,507"
Alabama,05000US01043,Cullman County,1/1/2010,1/1/2014,Renter occupied,"1,595","1,538","4,225",295,"7,653"
Alabama,05000US01045,Dale County,1/1/2005,1/1/2009,Owner occupied,"1,544",828,"11,375",754,"14,501"
Alabama,05000US01045,Dale County,1/1/2005,1/1/2009,Renter occupied,929,179,"4,890",0,"5,998"
Alabama,05000US01045,Dale County,1/1/2006,1/1/2010,Owner occupied,"1,167",670,"10,049",80,"11,966"
Alabama,05000US01045,Dale County,1/1/2006,1/1/2010,Renter occupied,"1,129",998,"5,335",134,"7,596"
Alabama,05000US01045,Dale County,1/1/2007,1/1/2011,Owner occupied,"1,086",692,"10,053",84,"11,915"
Alabama,05000US01045,Dale County,1/1/2007,1/1/2011,Renter occupied,"1,188",977,"5,224",149,"7,538"
Alabama,05000US01045,Dale County,1/1/2008,1/1/2012,Owner occupied,"1,098",711,"9,990",90,"11,889"
Alabama,05000US01045,Dale County,1/1/2008,1/1/2012,Renter occupied,"1,363","1,053","5,129",195,"7,740"
Alabama,05000US01045,Dale County,1/1/2009,1/1/2013,Owner occupied,"1,169",800,"9,745",119,"11,833"
Alabama,05000US01045,Dale County,1/1/2009,1/1/2013,Renter occupied,"1,509","1,178","4,623",185,"7,495"
Alabama,05000US01045,Dale County,1/1/2010,1/1/2014,Owner occupied,"1,120",883,"9,830",115,"11,948"
Alabama,05000US01045,Dale County,1/1/2010,1/1/2014,Renter occupied,"1,524","1,283","4,499",185,"7,491"
Alabama,05000US01047,Dallas County,1/1/2005,1/1/2009,Owner occupied,"2,313","1,655","9,970","1,340","15,278"
Alabama,05000US01047,Dallas County,1/1/2005,1/1/2009,Renter occupied,840,380,"2,850",0,"4,070"
Alabama,05000US01047,Dallas County,1/1/2006,1/1/2010,Owner occupied,"1,658","1,379","7,400",75,"10,512"
Alabama,05000US01047,Dallas County,1/1/2006,1/1/2010,Renter occupied,"1,250","1,600","3,195",245,"6,290"
Alabama,05000US01047,Dallas County,1/1/2007,1/1/2011,Owner occupied,"1,604","1,289","7,425",74,"10,392"
Alabama,05000US01047,Dallas County,1/1/2007,1/1/2011,Renter occupied,"1,320","1,674","3,154",355,"6,503"
Alabama,05000US01047,Dallas County,1/1/2008,1/1/2012,Owner occupied,"1,551","1,344","7,085",68,"10,048"
Alabama,05000US01047,Dallas County,1/1/2008,1/1/2012,Renter occupied,"1,365","1,519","2,900",349,"6,133"
Alabama,05000US01047,Dallas County,1/1/2009,1/1/2013,Owner occupied,"1,625","1,257","6,865",100,"9,847"
Alabama,05000US01047,Dallas County,1/1/2009,1/1/2013,Renter occupied,"1,425","1,514","3,025",355,"6,319"
Alabama,05000US01047,Dallas County,1/1/2010,1/1/2014,Owner occupied,"1,704","1,212","6,845",124,"9,885"
Alabama,05000US01047,Dallas County,1/1/2010,1/1/2014,Renter occupied,"1,338","1,705","2,899",384,"6,326"
Alabama,05000US01049,DeKalb County,1/1/2005,1/1/2009,Owner occupied,"2,970","1,524","16,085",755,"21,334"
Alabama,05000US01049,DeKalb County,1/1/2005,1/1/2009,Renter occupied,693,245,"3,845",0,"4,783"
Alabama,05000US01049,DeKalb County,1/1/2006,1/1/2010,Owner occupied,"2,780","1,531","15,570",195,"20,076"
Alabama,05000US01049,DeKalb County,1/1/2006,1/1/2010,Renter occupied,"1,003",739,"3,969",123,"5,834"
Alabama,05000US01049,DeKalb County,1/1/2007,1/1/2011,Owner occupied,"3,004","1,642","15,575",200,"20,421"
Alabama,05000US01049,DeKalb County,1/1/2007,1/1/2011,Renter occupied,933,779,"3,925",134,"5,771"
Alabama,05000US01049,DeKalb County,1/1/2008,1/1/2012,Owner occupied,"2,715","1,712","14,975",220,"19,622"
Alabama,05000US01049,DeKalb County,1/1/2008,1/1/2012,Renter occupied,"1,025",664,"3,965",274,"5,928"
Alabama,05000US01049,DeKalb County,1/1/2009,1/1/2013,Owner occupied,"2,370","1,763","14,675",205,"19,013"
Alabama,05000US01049,DeKalb County,1/1/2009,1/1/2013,Renter occupied,"1,074",630,"3,915",274,"5,893"
Alabama,05000US01049,DeKalb County,1/1/2010,1/1/2014,Owner occupied,"2,225","1,873","14,330",170,"18,598"
Alabama,05000US01049,DeKalb County,1/1/2010,1/1/2014,Renter occupied,970,704,"4,149",319,"6,142"
Alabama,05000US01051,Elmore County,1/1/2005,1/1/2009,Owner occupied,"2,534","1,495","17,334","1,134","22,497"
Alabama,05000US01051,Elmore County,1/1/2005,1/1/2009,Renter occupied,659,169,"3,439",0,"4,267"
Alabama,05000US01051,Elmore County,1/1/2006,1/1/2010,Owner occupied,"2,829","1,505","17,015",185,"21,534"
Alabama,05000US01051,Elmore County,1/1/2006,1/1/2010,Renter occupied,974,"1,039","4,104",110,"6,227"
Alabama,05000US01051,Elmore County,1/1/2007,1/1/2011,Owner occupied,"2,824","1,564","17,025",185,"21,598"
Alabama,05000US01051,Elmore County,1/1/2007,1/1/2011,Renter occupied,"1,238","1,115","4,005",120,"6,478"
Alabama,05000US01051,Elmore County,1/1/2008,1/1/2012,Owner occupied,"2,670","1,629","17,305",174,"21,778"
Alabama,05000US01051,Elmore County,1/1/2008,1/1/2012,Renter occupied,"1,278","1,125","3,863",110,"6,376"
Alabama,05000US01051,Elmore County,1/1/2009,1/1/2013,Owner occupied,"2,680","1,495","17,020",194,"21,389"
Alabama,05000US01051,Elmore County,1/1/2009,1/1/2013,Renter occupied,"1,384","1,205","4,218",125,"6,932"
Alabama,05000US01051,Elmore County,1/1/2010,1/1/2014,Owner occupied,"2,613","1,574","17,169",259,"21,615"
Alabama,05000US01051,Elmore County,1/1/2010,1/1/2014,Renter occupied,"1,567","1,034","4,264",110,"6,975"
Alabama,05000US01053,Escambia County,1/1/2005,1/1/2009,Owner occupied,"1,275","1,302","9,255",770,"12,602"
Alabama,05000US01053,Escambia County,1/1/2005,1/1/2009,Renter occupied,599,215,"1,805",0,"2,619"
Alabama,05000US01053,Escambia County,1/1/2006,1/1/2010,Owner occupied,"1,085",949,"7,703",425,"10,162"
Alabama,05000US01053,Escambia County,1/1/2006,1/1/2010,Renter occupied,822,810,"1,835",190,"3,657"
Alabama,05000US01053,Escambia County,1/1/2007,1/1/2011,Owner occupied,"1,115",784,"7,695",415,"10,009"
Alabama,05000US01053,Escambia County,1/1/2007,1/1/2011,Renter occupied,843,875,"2,009",185,"3,912"
Alabama,05000US01053,Escambia County,1/1/2008,1/1/2012,Owner occupied,"1,214",839,"7,559",430,"10,042"
Alabama,05000US01053,Escambia County,1/1/2008,1/1/2012,Renter occupied,883,860,"1,851",220,"3,814"
Alabama,05000US01053,Escambia County,1/1/2009,1/1/2013,Owner occupied,"1,249",804,"7,425",450,"9,928"
Alabama,05000US01053,Escambia County,1/1/2009,1/1/2013,Renter occupied,863,795,"1,818",279,"3,755"
Alabama,05000US01053,Escambia County,1/1/2010,1/1/2014,Owner occupied,"1,188",598,"7,515",375,"9,676"
Alabama,05000US01053,Escambia County,1/1/2010,1/1/2014,Renter occupied,"1,034",804,"1,853",374,"4,065"
Alabama,05000US01055,Etowah County,1/1/2005,1/1/2009,Owner occupied,"4,263","3,059","26,890","1,620","35,832"
Alabama,05000US01055,Etowah County,1/1/2005,1/1/2009,Renter occupied,"1,745",700,"6,705",0,"9,150"
Alabama,05000US01055,Etowah County,1/1/2006,1/1/2010,Owner occupied,"3,859","3,014","23,125",355,"30,353"
Alabama,05000US01055,Etowah County,1/1/2006,1/1/2010,Renter occupied,"2,037","2,145","6,828",225,"11,235"
Alabama,05000US01055,Etowah County,1/1/2007,1/1/2011,Owner occupied,"3,870","3,100","22,875",325,"30,170"
Alabama,05000US01055,Etowah County,1/1/2007,1/1/2011,Renter occupied,"2,134","2,020","6,599",265,"11,018"
Alabama,05000US01055,Etowah County,1/1/2008,1/1/2012,Owner occupied,"3,835","2,918","22,285",270,"29,308"
Alabama,05000US01055,Etowah County,1/1/2008,1/1/2012,Renter occupied,"2,499","1,999","6,460",300,"11,258"
Alabama,05000US01055,Etowah County,1/1/2009,1/1/2013,Owner occupied,"3,830","2,745","22,240",305,"29,120"
Alabama,05000US01055,Etowah County,1/1/2009,1/1/2013,Renter occupied,"2,644","1,995","6,215",239,"11,093"
Alabama,05000US01055,Etowah County,1/1/2010,1/1/2014,Owner occupied,"3,714","2,470","21,850",295,"28,329"
Alabama,05000US01055,Etowah County,1/1/2010,1/1/2014,Renter occupied,"2,853","2,124","6,484",195,"11,656"
Alabama,05000US01057,Fayette County,1/1/2005,1/1/2009,Owner occupied,813,389,"5,034",260,"6,496"
Alabama,05000US01057,Fayette County,1/1/2005,1/1/2009,Renter occupied,218,100,"1,013",0,"1,331"
Alabama,05000US01057,Fayette County,1/1/2006,1/1/2010,Owner occupied,567,388,"4,430",74,"5,459"
Alabama,05000US01057,Fayette County,1/1/2006,1/1/2010,Renter occupied,403,275,"1,012",39,"1,729"
Alabama,05000US01057,Fayette County,1/1/2007,1/1/2011,Owner occupied,573,392,"4,298",55,"5,318"
Alabama,05000US01057,Fayette County,1/1/2007,1/1/2011,Renter occupied,436,315,"1,081",64,"1,896"
Alabama,05000US01057,Fayette County,1/1/2008,1/1/2012,Owner occupied,583,367,"4,360",69,"5,379"
Alabama,05000US01057,Fayette County,1/1/2008,1/1/2012,Renter occupied,412,304,"1,002",54,"1,772"
Alabama,05000US01057,Fayette County,1/1/2009,1/1/2013,Owner occupied,507,407,"4,200",73,"5,187"
Alabama,05000US01057,Fayette County,1/1/2009,1/1/2013,Renter occupied,344,289,"1,068",34,"1,735"
Alabama,05000US01057,Fayette County,1/1/2010,1/1/2014,Owner occupied,412,373,"4,190",73,"5,048"
Alabama,05000US01057,Fayette County,1/1/2010,1/1/2014,Renter occupied,399,314,"1,165",35,"1,913"
Alabama,05000US01059,Franklin County,1/1/2005,1/1/2009,Owner occupied,"1,157",838,"7,964",565,"10,524"
Alabama,05000US01059,Franklin County,1/1/2005,1/1/2009,Renter occupied,344,145,"2,355",0,"2,844"
Alabama,05000US01059,Franklin County,1/1/2006,1/1/2010,Owner occupied,799,683,"6,959",130,"8,571"
Alabama,05000US01059,Franklin County,1/1/2006,1/1/2010,Renter occupied,535,645,"2,535",74,"3,789"
Alabama,05000US01059,Franklin County,1/1/2007,1/1/2011,Owner occupied,734,594,"7,079",120,"8,527"
Alabama,05000US01059,Franklin County,1/1/2007,1/1/2011,Renter occupied,660,730,"2,353",85,"3,828"
Alabama,05000US01059,Franklin County,1/1/2008,1/1/2012,Owner occupied,734,613,"7,188",150,"8,685"
Alabama,05000US01059,Franklin County,1/1/2008,1/1/2012,Renter occupied,640,610,"2,400",125,"3,775"
Alabama,05000US01059,Franklin County,1/1/2009,1/1/2013,Owner occupied,739,660,"7,159",100,"8,658"
Alabama,05000US01059,Franklin County,1/1/2009,1/1/2013,Renter occupied,602,648,"2,444",95,"3,789"
Alabama,05000US01059,Franklin County,1/1/2010,1/1/2014,Owner occupied,769,606,"6,930",40,"8,345"
Alabama,05000US01059,Franklin County,1/1/2010,1/1/2014,Renter occupied,722,505,"2,405",245,"3,877"
Alabama,05000US01061,Geneva County,1/1/2005,1/1/2009,Owner occupied,804,952,"6,943",444,"9,143"
Alabama,05000US01061,Geneva County,1/1/2005,1/1/2009,Renter occupied,285,120,"1,495",0,"1,900"
Alabama,05000US01061,Geneva County,1/1/2006,1/1/2010,Owner occupied,587,813,"6,129",125,"7,654"
Alabama,05000US01061,Geneva County,1/1/2006,1/1/2010,Renter occupied,414,529,"1,950",140,"3,033"
Alabama,05000US01061,Geneva County,1/1/2007,1/1/2011,Owner occupied,679,675,"6,310",80,"7,744"
Alabama,05000US01061,Geneva County,1/1/2007,1/1/2011,Renter occupied,433,553,"1,963",175,"3,124"
Alabama,05000US01061,Geneva County,1/1/2008,1/1/2012,Owner occupied,782,555,"6,375",110,"7,822"
Alabama,05000US01061,Geneva County,1/1/2008,1/1/2012,Renter occupied,587,513,"1,927",125,"3,152"
Alabama,05000US01061,Geneva County,1/1/2009,1/1/2013,Owner occupied,848,399,"6,564",70,"7,881"
Alabama,05000US01061,Geneva County,1/1/2009,1/1/2013,Renter occupied,527,501,"1,898",120,"3,046"
Alabama,05000US01061,Geneva County,1/1/2010,1/1/2014,Owner occupied,861,463,"6,589",64,"7,977"
Alabama,05000US01061,Geneva County,1/1/2010,1/1/2014,Renter occupied,551,447,"1,808",109,"2,915"
Alabama,05000US01063,Greene County,1/1/2005,1/1/2009,Owner occupied,498,482,"2,298",282,"3,560"
Alabama,05000US01063,Greene County,1/1/2005,1/1/2009,Renter occupied,60,0,564,0,624
Alabama,05000US01063,Greene County,1/1/2006,1/1/2010,Owner occupied,317,409,"1,733",34,"2,493"
Alabama,05000US01063,Greene County,1/1/2006,1/1/2010,Renter occupied,138,188,608,70,"1,004"
Alabama,05000US01063,Greene County,1/1/2007,1/1/2011,Owner occupied,350,337,"1,652",64,"2,403"
Alabama,05000US01063,Greene County,1/1/2007,1/1/2011,Renter occupied,202,182,530,50,964
Alabama,05000US01063,Greene County,1/1/2008,1/1/2012,Owner occupied,368,312,"1,550",74,"2,304"
Alabama,05000US01063,Greene County,1/1/2008,1/1/2012,Renter occupied,229,123,563,45,960
Alabama,05000US01063,Greene County,1/1/2009,1/1/2013,Owner occupied,346,313,"1,653",83,"2,395"
Alabama,05000US01063,Greene County,1/1/2009,1/1/2013,Renter occupied,193,68,556,50,867
Alabama,05000US01063,Greene County,1/1/2010,1/1/2014,Owner occupied,408,321,"1,533",84,"2,346"
Alabama,05000US01063,Greene County,1/1/2010,1/1/2014,Renter occupied,258,61,564,60,943
Alabama,05000US01065,Hale County,1/1/2005,1/1/2009,Owner occupied,953,624,"3,885",308,"5,770"
Alabama,05000US01065,Hale County,1/1/2005,1/1/2009,Renter occupied,97,14,999,0,"1,110"
Alabama,05000US01065,Hale County,1/1/2006,1/1/2010,Owner occupied,542,562,"3,220",14,"4,338"
Alabama,05000US01065,Hale County,1/1/2006,1/1/2010,Renter occupied,202,228,"1,053",19,"1,502"
Alabama,05000US01065,Hale County,1/1/2007,1/1/2011,Owner occupied,587,654,"3,175",34,"4,450"
Alabama,05000US01065,Hale County,1/1/2007,1/1/2011,Renter occupied,179,260,973,19,"1,431"
Alabama,05000US01065,Hale County,1/1/2008,1/1/2012,Owner occupied,577,709,"3,219",34,"4,539"
Alabama,05000US01065,Hale County,1/1/2008,1/1/2012,Renter occupied,158,290,950,20,"1,418"
Alabama,05000US01065,Hale County,1/1/2009,1/1/2013,Owner occupied,546,743,"3,309",40,"4,638"
Alabama,05000US01065,Hale County,1/1/2009,1/1/2013,Renter occupied,112,278,889,24,"1,303"
Alabama,05000US01065,Hale County,1/1/2010,1/1/2014,Owner occupied,607,698,"3,219",44,"4,568"
Alabama,05000US01065,Hale County,1/1/2010,1/1/2014,Renter occupied,157,277,903,39,"1,376"
Alabama,05000US01067,Henry County,1/1/2005,1/1/2009,Owner occupied,554,535,"4,710",254,"6,053"
Alabama,05000US01067,Henry County,1/1/2005,1/1/2009,Renter occupied,138,15,505,0,658
Alabama,05000US01067,Henry County,1/1/2006,1/1/2010,Owner occupied,623,515,"4,280",30,"5,448"
Alabama,05000US01067,Henry County,1/1/2006,1/1/2010,Renter occupied,240,164,754,50,"1,208"
Alabama,05000US01067,Henry County,1/1/2007,1/1/2011,Owner occupied,685,550,"4,209",14,"5,458"
Alabama,05000US01067,Henry County,1/1/2007,1/1/2011,Renter occupied,223,224,789,75,"1,311"
Alabama,05000US01067,Henry County,1/1/2008,1/1/2012,Owner occupied,733,564,"4,095",14,"5,406"
Alabama,05000US01067,Henry County,1/1/2008,1/1/2012,Renter occupied,310,194,948,65,"1,517"
Alabama,05000US01067,Henry County,1/1/2009,1/1/2013,Owner occupied,752,528,"4,129",12,"5,421"
Alabama,05000US01067,Henry County,1/1/2009,1/1/2013,Renter occupied,250,204,"1,008",70,"1,532"
Alabama,05000US01067,Henry County,1/1/2010,1/1/2014,Owner occupied,778,436,"4,114",32,"5,360"
Alabama,05000US01067,Henry County,1/1/2010,1/1/2014,Renter occupied,265,254,977,30,"1,526"
Alabama,05000US01069,Houston County,1/1/2005,1/1/2009,Owner occupied,"3,164","2,072","23,804","1,795","30,835"
Alabama,05000US01069,Houston County,1/1/2005,1/1/2009,Renter occupied,"1,895",514,"6,365",0,"8,774"
Alabama,05000US01069,Houston County,1/1/2006,1/1/2010,Owner occupied,"2,855","1,708","20,895",185,"25,643"
Alabama,05000US01069,Houston County,1/1/2006,1/1/2010,Renter occupied,"2,422","2,477","7,275",215,"12,389"
Alabama,05000US01069,Houston County,1/1/2007,1/1/2011,Owner occupied,"2,905","1,653","20,954",180,"25,692"
Alabama,05000US01069,Houston County,1/1/2007,1/1/2011,Renter occupied,"2,430","2,637","7,450",259,"12,776"
Alabama,05000US01069,Houston County,1/1/2008,1/1/2012,Owner occupied,"2,810","1,753","20,690",180,"25,433"
Alabama,05000US01069,Houston County,1/1/2008,1/1/2012,Renter occupied,"2,536","2,837","7,635",289,"13,297"
Alabama,05000US01069,Houston County,1/1/2009,1/1/2013,Owner occupied,"2,944","1,863","20,350",210,"25,367"
Alabama,05000US01069,Houston County,1/1/2009,1/1/2013,Renter occupied,"2,701","2,951","7,910",345,"13,907"
Alabama,05000US01069,Houston County,1/1/2010,1/1/2014,Owner occupied,"3,019","1,914","20,374",180,"25,487"
Alabama,05000US01069,Houston County,1/1/2010,1/1/2014,Renter occupied,"2,807","2,865","7,895",395,"13,962"
Alabama,05000US01071,Jackson County,1/1/2005,1/1/2009,Owner occupied,"2,519","1,417","14,514",745,"19,195"
Alabama,05000US01071,Jackson County,1/1/2005,1/1/2009,Renter occupied,718,92,"2,545",0,"3,355"
Alabama,05000US01071,Jackson County,1/1/2006,1/1/2010,Owner occupied,"1,865","1,407","12,759",195,"16,226"
Alabama,05000US01071,Jackson County,1/1/2006,1/1/2010,Renter occupied,863,758,"3,130",205,"4,956"
Alabama,05000US01071,Jackson County,1/1/2007,1/1/2011,Owner occupied,"1,970","1,303","13,014",190,"16,477"
Alabama,05000US01071,Jackson County,1/1/2007,1/1/2011,Renter occupied,998,803,"3,150",200,"5,151"
Alabama,05000US01071,Jackson County,1/1/2008,1/1/2012,Owner occupied,"1,949","1,093","12,869",170,"16,081"
Alabama,05000US01071,Jackson County,1/1/2008,1/1/2012,Renter occupied,"1,012",572,"3,290",235,"5,109"
Alabama,05000US01071,Jackson County,1/1/2009,1/1/2013,Owner occupied,"1,759","1,030","12,744",95,"15,628"
Alabama,05000US01071,Jackson County,1/1/2009,1/1/2013,Renter occupied,"1,067",524,"3,345",210,"5,146"
Alabama,05000US01071,Jackson County,1/1/2010,1/1/2014,Owner occupied,"1,595","1,090","12,389",134,"15,208"
Alabama,05000US01071,Jackson County,1/1/2010,1/1/2014,Renter occupied,"1,007",712,"3,290",215,"5,224"
Alabama,05000US01073,Jefferson County,1/1/2005,1/1/2009,Owner occupied,"30,780","21,565","157,345","16,665","226,355"
Alabama,05000US01073,Jefferson County,1/1/2005,1/1/2009,Renter occupied,"14,340","6,435","43,290",0,"64,065"
Alabama,05000US01073,Jefferson County,1/1/2006,1/1/2010,Owner occupied,"27,175","18,625","127,095","1,035","173,930"
Alabama,05000US01073,Jefferson County,1/1/2006,1/1/2010,Renter occupied,"17,825","22,235","44,420","2,025","86,505"
Alabama,05000US01073,Jefferson County,1/1/2007,1/1/2011,Owner occupied,"26,605","18,165","125,235","1,159","171,164"
Alabama,05000US01073,Jefferson County,1/1/2007,1/1/2011,Renter occupied,"18,370","23,445","44,050","2,360","88,225"
Alabama,05000US01073,Jefferson County,1/1/2008,1/1/2012,Owner occupied,"25,450","17,810","124,435","1,339","169,034"
Alabama,05000US01073,Jefferson County,1/1/2008,1/1/2012,Renter occupied,"18,575","24,685","44,010","2,949","90,219"
Alabama,05000US01073,Jefferson County,1/1/2009,1/1/2013,Owner occupied,"24,195","17,925","124,390","1,439","167,949"
Alabama,05000US01073,Jefferson County,1/1/2009,1/1/2013,Renter occupied,"19,070","24,660","44,805","3,140","91,675"
Alabama,05000US01073,Jefferson County,1/1/2010,1/1/2014,Owner occupied,"22,990","17,305","123,920","1,475","165,690"
Alabama,05000US01073,Jefferson County,1/1/2010,1/1/2014,Renter occupied,"19,180","24,885","46,250","3,375","93,690"
